日期,开盘价,收盘价
2023-06-05,1.105,1.096
2023-06-06,1.093,1.067
2023-06-07,1.068,1.065
2023-06-08,1.063,1.053
2023-06-09,1.053,1.077
2023-06-12,1.076,1.071
2023-06-13,1.07,1.084
2023-06-14,1.083,1.08
2023-06-15,1.079,1.08
2023-06-16,1.082,1.098
2023-06-19,1.098,1.1
2023-06-20,1.098,1.101
2023-06-21,1.096,1.066
2023-06-26,1.059,1.057
2023-06-27,1.057,1.06
2023-06-28,1.059,1.055
2023-06-29,1.052,1.047
2023-06-30,1.045,1.052
2023-07-03,1.053,1.055
2023-07-04,1.053,1.061
2023-07-05,1.06,1.051
2023-07-06,1.048,1.048
2023-07-07,1.045,1.037
2023-07-10,1.039,1.039
2023-07-11,1.042,1.046
2023-07-12,1.046,1.03
2023-07-13,1.034,1.039
2023-07-14,1.044,1.036
2023-07-17,1.034,1.028
2023-07-18,1.029,1.025
2023-07-19,1.028,1.019
2023-07-20,1.021,1.007
2023-07-21,1.005,1.0
2023-07-24,1.0,0.995
2023-07-25,1.004,1.009
2023-07-26,1.009,1.006
2023-07-27,1.006,0.997
2023-07-28,0.994,1.007
2023-07-31,1.01,1.015
2023-08-01,1.016,1.014
2023-08-02,1.013,1.012
2023-08-03,1.009,1.015
2023-08-04,1.019,1.021
2023-08-07,1.019,1.014
2023-08-08,1.012,1.01
2023-08-09,1.008,1.001
2023-08-10,1.0,1.003
2023-08-11,1.004,0.983
2023-08-14,0.977,0.974
2023-08-15,0.974,0.96
2023-08-16,0.958,0.944
2023-08-17,0.94,0.954
2023-08-18,0.969,0.95
2023-08-21,0.942,0.936
2023-08-22,0.94,0.946
2023-08-23,0.94,0.922
2023-08-24,0.926,0.929
2023-08-25,0.923,0.912
2023-08-28,0.976,0.922
2023-08-29,0.921,0.97
2023-08-30,0.977,0.988
2023-08-31,0.98,0.987
2023-09-01,0.987,0.98
2023-09-04,0.98,0.989
2023-09-05,0.986,0.975
2023-09-06,0.971,0.979
2023-09-07,0.973,0.942
2023-09-08,0.937,0.944
2023-09-11,0.945,0.951
2023-09-12,0.95,0.945
2023-09-13,0.944,0.932
2023-09-14,0.93,0.925
2023-09-15,0.926,0.929
2023-09-18,0.925,0.923
2023-09-19,0.923,0.917
2023-09-20,0.914,0.908
2023-09-21,0.906,0.904
2023-09-22,0.902,0.927
2023-09-25,0.924,0.919
2023-09-26,0.918,0.92
2023-09-27,0.918,0.925
2023-09-28,0.926,0.932
2023-10-09,0.929,0.93
2023-10-10,0.932,0.924
2023-10-11,0.927,0.937
2023-10-12,0.94,0.943
2023-10-13,0.936,0.934
2023-10-16,0.934,0.916
2023-10-17,0.917,0.924
2023-10-18,0.924,0.913
2023-10-19,0.907,0.911
2023-10-20,0.907,0.904
2023-10-23,0.901,0.883
2023-10-24,0.887,0.893
2023-10-25,0.9,0.891
2023-10-26,0.885,0.892
2023-10-27,0.887,0.906
2023-10-30,0.901,0.92
2023-10-31,0.92,0.917
2023-11-01,0.918,0.913
2023-11-02,0.913,0.903
2023-11-03,0.904,0.918
2023-11-06,0.924,0.934
2023-11-07,0.93,0.935
2023-11-08,0.933,0.943
2023-11-09,0.942,0.937
2023-11-10,0.932,0.931
2023-11-13,0.934,0.937
2023-11-14,0.936,0.946
2023-11-15,0.955,0.942
2023-11-16,0.94,0.928
2023-11-17,0.926,0.932
2023-11-20,0.933,0.934
2023-11-21,0.935,0.927
2023-11-22,0.924,0.913
2023-11-23,0.912,0.918
2023-11-24,0.916,0.906
2023-11-27,0.905,0.909
2023-11-28,0.909,0.913
2023-11-29,0.913,0.906
2023-11-30,0.904,0.907
2023-12-01,0.907,0.91
2023-12-04,0.91,0.906
2023-12-05,0.904,0.89
2023-12-06,0.889,0.892
2023-12-07,0.891,0.891
2023-12-08,0.891,0.91
2023-12-11,0.907,0.923
2023-12-12,0.921,0.917
2023-12-13,0.915,0.907
2023-12-14,0.911,0.902
2023-12-15,0.905,0.895
2023-12-18,0.892,0.886
2023-12-19,0.885,0.892
2023-12-20,0.893,0.881
2023-12-21,0.878,0.893
2023-12-22,0.891,0.888
2023-12-25,0.886,0.883
2023-12-26,0.882,0.868
2023-12-27,0.87,0.873
2023-12-28,0.871,0.894
2023-12-29,0.891,0.897
2024-01-02,0.898,0.886
2024-01-03,0.884,0.874
2024-01-04,0.873,0.866
2024-01-05,0.863,0.849
2024-01-08,0.845,0.824
2024-01-09,0.825,0.824
2024-01-10,0.82,0.818
2024-01-11,0.817,0.829
2024-01-12,0.826,0.818
2024-01-15,0.813,0.813
2024-01-16,0.811,0.817
2024-01-17,0.814,0.795
2024-01-18,0.791,0.806
2024-01-19,0.803,0.803
2024-01-22,0.801,0.776
2024-01-23,0.772,0.786
2024-01-24,0.789,0.788
2024-01-25,0.785,0.804
2024-01-26,0.8,0.785
2024-01-29,0.791,0.764
2024-01-30,0.757,0.735
2024-01-31,0.731,0.722
2024-02-01,0.716,0.726
2024-02-02,0.726,0.707
2024-02-05,0.7,0.709
2024-02-06,0.7,0.757
2024-02-07,0.755,0.777
2024-02-08,0.784,0.786
2024-02-19,0.798,0.798
2024-02-20,0.792,0.79
2024-02-21,0.783,0.791
2024-02-22,0.791,0.799
2024-02-23,0.804,0.801
2024-02-26,0.8,0.806
2024-02-27,0.802,0.836
2024-02-28,0.836,0.808
2024-02-29,0.804,0.847
2024-03-01,0.85,0.855
