日期,开盘价,收盘价
2022-09-19,2.292,2.285
2022-09-20,2.295,2.297
2022-09-21,2.284,2.265
2022-09-22,2.25,2.252
2022-09-23,2.245,2.239
2022-09-26,2.226,2.253
2022-09-27,2.258,2.306
2022-09-28,2.294,2.249
2022-09-29,2.269,2.267
2022-09-30,2.259,2.221
2022-10-10,2.219,2.166
2022-10-11,2.183,2.192
2022-10-12,2.191,2.274
2022-10-13,2.255,2.282
2022-10-14,2.315,2.365
2022-10-17,2.349,2.362
2022-10-18,2.38,2.373
2022-10-19,2.366,2.355
2022-10-20,2.34,2.337
2022-10-21,2.337,2.321
2022-10-24,2.323,2.266
2022-10-25,2.252,2.241
2022-10-26,2.251,2.302
2022-10-27,2.319,2.265
2022-10-28,2.247,2.187
2022-10-31,2.166,2.202
2022-11-01,2.208,2.275
2022-11-02,2.261,2.305
2022-11-03,2.283,2.309
2022-11-04,2.307,2.383
2022-11-07,2.372,2.379
2022-11-08,2.379,2.363
2022-11-09,2.356,2.326
2022-11-10,2.313,2.288
2022-11-11,2.4,2.33
2022-11-14,2.333,2.302
2022-11-15,2.297,2.361
2022-11-16,2.359,2.33
2022-11-17,2.322,2.316
2022-11-18,2.317,2.315
2022-11-21,2.298,2.319
2022-11-22,2.312,2.273
2022-11-23,2.269,2.269
2022-11-24,2.276,2.264
2022-11-25,2.261,2.242
2022-11-28,2.203,2.233
2022-11-29,2.233,2.268
2022-11-30,2.266,2.265
2022-12-01,2.312,2.311
2022-12-02,2.31,2.316
2022-12-05,2.327,2.313
2022-12-06,2.301,2.319
2022-12-07,2.311,2.343
2022-12-08,2.337,2.338
2022-12-09,2.337,2.348
2022-12-12,2.342,2.333
2022-12-13,2.334,2.305
2022-12-14,2.309,2.299
2022-12-15,2.299,2.326
2022-12-16,2.312,2.298
2022-12-19,2.304,2.274
2022-12-20,2.27,2.243
2022-12-21,2.244,2.24
2022-12-22,2.249,2.235
2022-12-23,2.216,2.222
2022-12-26,2.224,2.262
2022-12-27,2.268,2.293
2022-12-28,2.278,2.267
2022-12-29,2.255,2.277
2022-12-30,2.287,2.279
2023-01-03,2.267,2.289
2023-01-04,2.28,2.267
2023-01-05,2.276,2.33
2023-01-06,2.321,2.35
2023-01-09,2.361,2.365
2023-01-10,2.365,2.401
2023-01-11,2.401,2.374
2023-01-12,2.383,2.382
2023-01-13,2.397,2.417
2023-01-16,2.421,2.462
2023-01-17,2.465,2.47
2023-01-18,2.479,2.468
2023-01-19,2.465,2.496
2023-01-20,2.505,2.507
2023-01-30,2.577,2.533
2023-01-31,2.533,2.507
2023-02-01,2.516,2.537
2023-02-02,2.544,2.524
2023-02-03,2.515,2.5
2023-02-06,2.486,2.468
2023-02-07,2.474,2.461
2023-02-08,2.466,2.447
2023-02-09,2.444,2.493
2023-02-10,2.493,2.465
2023-02-13,2.463,2.495
2023-02-14,2.502,2.49
2023-02-15,2.488,2.468
2023-02-16,2.473,2.436
2023-02-17,2.433,2.378
2023-02-20,2.372,2.403
2023-02-21,2.401,2.395
2023-02-22,2.385,2.377
2023-02-23,2.379,2.385
2023-02-24,2.388,2.357
2023-02-27,2.347,2.34
2023-02-28,2.35,2.359
2023-03-01,2.358,2.372
2023-03-02,2.368,2.347
2023-03-03,2.353,2.352
2023-03-06,2.356,2.361
2023-03-07,2.354,2.312
2023-03-08,2.303,2.308
2023-03-09,2.309,2.303
2023-03-10,2.295,2.3
2023-03-13,2.295,2.287
2023-03-14,2.285,2.276
2023-03-15,2.285,2.268
2023-03-16,2.257,2.233
2023-03-17,2.248,2.228
2023-03-20,2.229,2.226
2023-03-21,2.233,2.265
2023-03-22,2.27,2.27
2023-03-23,2.262,2.288
2023-03-24,2.292,2.297
2023-03-27,2.293,2.323
2023-03-28,2.322,2.298
2023-03-29,2.3,2.297
2023-03-30,2.3,2.313
2023-03-31,2.321,2.327
2023-04-03,2.327,2.366
2023-04-04,2.366,2.35
2023-04-06,2.334,2.354
2023-04-07,2.351,2.369
2023-04-10,2.379,2.368
2023-04-11,2.367,2.362
2023-04-12,2.364,2.353
2023-04-13,2.345,2.332
2023-04-14,2.342,2.355
2023-04-17,2.354,2.364
2023-04-18,2.362,2.354
2023-04-19,2.356,2.339
2023-04-20,2.337,2.314
2023-04-21,2.318,2.269
2023-04-24,2.267,2.234
2023-04-25,2.236,2.193
2023-04-26,2.187,2.226
2023-04-27,2.219,2.24
2023-04-28,2.247,2.255
2023-05-04,2.253,2.23
2023-05-05,2.228,2.202
2023-05-08,2.21,2.213
2023-05-09,2.209,2.18
2023-05-10,2.176,2.199
2023-05-11,2.201,2.211
2023-05-12,2.211,2.185
2023-05-15,2.192,2.234
2023-05-16,2.242,2.228
2023-05-17,2.23,2.229
2023-05-18,2.233,2.215
2023-05-19,2.212,2.215
2023-05-22,2.216,2.214
2023-05-23,2.216,2.187
2023-05-24,2.181,2.183
2023-05-25,2.179,2.184
2023-05-26,2.183,2.167
2023-05-29,2.171,2.143
2023-05-30,2.139,2.155
2023-05-31,2.149,2.131
2023-06-01,2.133,2.148
2023-06-02,2.156,2.175
2023-06-05,2.173,2.143
2023-06-06,2.14,2.106
2023-06-07,2.105,2.075
2023-06-08,2.075,2.071
2023-06-09,2.073,2.086
2023-06-12,2.08,2.095
2023-06-13,2.093,2.111
2023-06-14,2.115,2.106
2023-06-15,2.114,2.179
2023-06-16,2.185,2.208
2023-06-19,2.211,2.207
2023-06-20,2.203,2.21
2023-06-21,2.206,2.156
2023-06-26,2.14,2.133
2023-06-27,2.133,2.138
2023-06-28,2.134,2.126
2023-06-29,2.121,2.129
2023-06-30,2.126,2.164
2023-07-03,2.168,2.171
2023-07-04,2.169,2.174
2023-07-05,2.176,2.156
2023-07-06,2.15,2.137
2023-07-07,2.13,2.118
2023-07-10,2.127,2.145
2023-07-11,2.147,2.161
2023-07-12,2.162,2.139
2023-07-13,2.151,2.182
2023-07-14,2.184,2.169
2023-07-17,2.163,2.152
2023-07-18,2.155,2.147
2023-07-19,2.145,2.125
2023-07-20,2.129,2.103
2023-07-21,2.1,2.11
2023-07-24,2.1,2.09
2023-07-25,2.123,2.136
2023-07-26,2.13,2.135
2023-07-27,2.14,2.129
2023-07-28,2.12,2.163
2023-07-31,2.172,2.182
2023-08-01,2.18,2.168
2023-08-02,2.166,2.164
2023-08-03,2.158,2.187
2023-08-04,2.21,2.204
2023-08-07,2.198,2.185
2023-08-08,2.183,2.177
2023-08-09,2.17,2.174
2023-08-10,2.173,2.184
2023-08-11,2.187,2.129
2023-08-14,2.112,2.113
2023-08-15,2.112,2.096
2023-08-16,2.085,2.082
2023-08-17,2.078,2.094
2023-08-18,2.09,2.065
2023-08-21,2.061,2.035
2023-08-22,2.043,2.038
2023-08-23,2.023,1.987
2023-08-24,1.995,2.014
2023-08-25,2.0,1.991
2023-08-28,2.136,2.01
2023-08-29,2.002,2.067
2023-08-30,2.064,2.066
2023-08-31,2.062,2.052
2023-09-01,2.058,2.049
2023-09-04,2.058,2.067
2023-09-05,2.06,2.057
2023-09-06,2.05,2.049
2023-09-07,2.043,2.003
2023-09-08,2.0,1.998
2023-09-11,2.0,2.011
2023-09-12,2.007,1.998
2023-09-13,1.995,1.974
2023-09-14,1.969,1.96
2023-09-15,1.962,1.954
2023-09-18,1.951,1.968
2023-09-19,1.966,1.952
2023-09-20,1.947,1.936
2023-09-21,1.93,1.917
2023-09-22,1.913,1.964
2023-09-25,1.955,1.953
2023-09-26,1.951,1.938
2023-09-27,1.935,1.956
2023-09-28,1.958,1.953
2023-10-09,1.95,1.947
2023-10-10,1.954,1.938
2023-10-11,1.945,1.954
