日期,开盘价,收盘价
2022-11-11,2.388,2.37
2022-11-14,2.376,2.366
2022-11-15,2.366,2.406
2022-11-16,2.404,2.398
2022-11-17,2.398,2.399
2022-11-18,2.4,2.397
2022-11-21,2.381,2.394
2022-11-22,2.393,2.368
2022-11-23,2.35,2.367
2022-11-24,2.37,2.367
2022-11-25,2.364,2.357
2022-11-28,2.309,2.341
2022-11-29,2.343,2.382
2022-11-30,2.389,2.374
2022-12-01,2.4,2.388
2022-12-02,2.388,2.382
2022-12-05,2.408,2.4
2022-12-06,2.4,2.398
2022-12-07,2.398,2.395
2022-12-08,2.395,2.388
2022-12-09,2.391,2.395
2022-12-12,2.395,2.385
2022-12-13,2.388,2.371
2022-12-14,2.371,2.359
2022-12-15,2.359,2.358
2022-12-16,2.358,2.35
2022-12-19,2.351,2.301
2022-12-20,2.287,2.273
2022-12-21,2.273,2.264
2022-12-22,2.277,2.237
2022-12-23,2.227,2.235
2022-12-26,2.24,2.257
2022-12-27,2.271,2.276
2022-12-28,2.275,2.27
2022-12-29,2.262,2.268
2022-12-30,2.293,2.271
2023-01-03,2.276,2.303
2023-01-04,2.303,2.301
2023-01-05,2.312,2.323
2023-01-06,2.331,2.326
2023-01-09,2.34,2.333
2023-01-10,2.34,2.337
2023-01-11,2.343,2.329
2023-01-12,2.328,2.327
2023-01-13,2.336,2.346
2023-01-16,2.356,2.365
2023-01-17,2.367,2.37
2023-01-18,2.382,2.38
2023-01-19,2.38,2.401
2023-01-20,2.411,2.417
2023-01-30,2.452,2.428
2023-01-31,2.428,2.432
2023-02-01,2.433,2.458
2023-02-02,2.461,2.461
2023-02-03,2.454,2.452
2023-02-06,2.452,2.44
2023-02-07,2.44,2.439
2023-02-08,2.439,2.423
2023-02-09,2.423,2.461
2023-02-10,2.463,2.451
2023-02-13,2.444,2.466
2023-02-14,2.483,2.473
2023-02-15,2.482,2.468
2023-02-16,2.468,2.439
2023-02-17,2.435,2.415
2023-02-20,2.416,2.452
2023-02-21,2.452,2.47
2023-02-22,2.467,2.469
2023-02-23,2.468,2.459
2023-02-24,2.466,2.454
2023-02-27,2.437,2.44
2023-02-28,2.446,2.462
2023-03-01,2.461,2.475
2023-03-02,2.475,2.47
2023-03-03,2.473,2.47
2023-03-06,2.472,2.472
2023-03-07,2.47,2.434
2023-03-08,2.434,2.435
2023-03-09,2.436,2.431
2023-03-10,2.425,2.403
2023-03-13,2.402,2.417
2023-03-14,2.419,2.395
2023-03-15,2.406,2.408
2023-03-16,2.39,2.38
2023-03-17,2.397,2.395
2023-03-20,2.395,2.386
2023-03-21,2.388,2.41
2023-03-22,2.412,2.423
2023-03-23,2.422,2.436
2023-03-24,2.451,2.44
2023-03-27,2.449,2.439
2023-03-28,2.444,2.435
2023-03-29,2.458,2.425
2023-03-30,2.425,2.435
2023-03-31,2.444,2.452
2023-04-03,2.452,2.479
2023-04-04,2.48,2.481
2023-04-06,2.462,2.48
2023-04-07,2.484,2.501
2023-04-10,2.514,2.483
2023-04-11,2.476,2.483
2023-04-12,2.489,2.493
2023-04-13,2.493,2.483
2023-04-14,2.494,2.488
2023-04-17,2.488,2.5
2023-04-18,2.508,2.495
2023-04-19,2.501,2.483
2023-04-20,2.488,2.482
2023-04-21,2.487,2.424
2023-04-24,2.425,2.405
2023-04-25,2.415,2.37
2023-04-26,2.365,2.377
2023-04-27,2.379,2.39
2023-04-28,2.399,2.421
2023-05-04,2.416,2.424
2023-05-05,2.429,2.404
2023-05-08,2.404,2.418
2023-05-09,2.425,2.397
2023-05-10,2.398,2.393
2023-05-11,2.393,2.387
2023-05-12,2.388,2.361
2023-05-15,2.361,2.388
2023-05-16,2.399,2.371
2023-05-17,2.371,2.372
2023-05-18,2.377,2.378
2023-05-19,2.375,2.378
2023-05-22,2.383,2.376
2023-05-23,2.372,2.354
2023-05-24,2.353,2.336
2023-05-25,2.334,2.328
2023-05-26,2.327,2.345
2023-05-29,2.358,2.345
2023-05-30,2.344,2.358
2023-05-31,2.358,2.354
2023-06-01,2.353,2.357
2023-06-02,2.368,2.378
2023-06-05,2.379,2.373
2023-06-06,2.374,2.331
2023-06-07,2.332,2.331
2023-06-08,2.331,2.328
2023-06-09,2.329,2.346
2023-06-12,2.345,2.352
2023-06-13,2.361,2.361
2023-06-14,2.361,2.362
2023-06-15,2.374,2.383
2023-06-16,2.393,2.404
2023-06-19,2.417,2.4
2023-06-20,2.407,2.398
2023-06-21,2.398,2.348
2023-06-26,2.327,2.31
2023-06-27,2.311,2.328
2023-06-28,2.325,2.331
2023-06-29,2.323,2.33
2023-06-30,2.342,2.356
2023-07-03,2.361,2.37
2023-07-04,2.371,2.374
2023-07-05,2.373,2.364
2023-07-06,2.364,2.349
2023-07-07,2.349,2.343
2023-07-10,2.362,2.35
2023-07-11,2.35,2.369
2023-07-12,2.374,2.346
2023-07-13,2.353,2.375
2023-07-14,2.379,2.369
2023-07-17,2.376,2.364
2023-07-18,2.366,2.361
2023-07-19,2.363,2.356
2023-07-20,2.36,2.332
2023-07-21,2.328,2.334
2023-07-24,2.32,2.328
2023-07-25,2.353,2.365
2023-07-26,2.356,2.36
2023-07-27,2.368,2.344
2023-07-28,2.332,2.378
2023-07-31,2.382,2.394
2023-08-01,2.394,2.398
2023-08-02,2.41,2.389
2023-08-03,2.393,2.397
2023-08-04,2.411,2.412
2023-08-07,2.406,2.4
2023-08-08,2.392,2.392
2023-08-09,2.383,2.372
2023-08-10,2.374,2.373
2023-08-11,2.38,2.329
2023-08-14,2.312,2.327
2023-08-15,2.329,2.315
2023-08-16,2.304,2.3
2023-08-17,2.289,2.312
2023-08-18,2.315,2.277
2023-08-21,2.277,2.248
2023-08-22,2.26,2.26
2023-08-23,2.247,2.219
2023-08-24,2.228,2.225
2023-08-25,2.217,2.199
