日期,开盘价,收盘价
2023-07-03,1.03,1.033
2023-07-04,1.031,1.039
2023-07-05,1.037,1.03
2023-07-06,1.029,1.026
2023-07-07,1.024,1.017
2023-07-10,1.017,1.018
2023-07-11,1.018,1.025
2023-07-12,1.025,1.009
2023-07-13,1.012,1.019
2023-07-14,1.021,1.015
2023-07-17,1.015,1.009
2023-07-18,1.01,1.006
2023-07-19,1.007,0.999
2023-07-20,0.999,0.986
2023-07-21,0.983,0.979
2023-07-24,0.977,0.974
2023-07-25,0.981,0.989
2023-07-26,0.988,0.985
2023-07-27,0.985,0.976
2023-07-28,0.975,0.986
2023-07-31,0.987,0.993
2023-08-01,0.993,0.994
2023-08-02,0.993,0.993
2023-08-03,0.99,0.994
2023-08-04,0.997,1.0
2023-08-07,0.998,0.992
2023-08-08,0.992,0.989
2023-08-09,0.988,0.981
2023-08-10,0.979,0.982
2023-08-11,0.982,0.962
2023-08-14,0.952,0.954
2023-08-15,0.954,0.942
2023-08-16,0.938,0.923
2023-08-17,0.92,0.933
2023-08-18,0.945,0.93
2023-08-21,0.924,0.916
2023-08-22,0.919,0.927
2023-08-23,0.92,0.902
2023-08-24,0.904,0.908
2023-08-25,0.903,0.892
2023-08-28,0.955,0.903
2023-08-29,0.898,0.94
2023-08-30,0.947,0.963
2023-08-31,0.959,0.965
2023-09-01,0.966,0.959
2023-09-04,0.962,0.966
2023-09-05,0.963,0.954
2023-09-06,0.95,0.957
2023-09-07,0.953,0.921
2023-09-08,0.917,0.923
2023-09-11,0.924,0.929
2023-09-12,0.927,0.923
2023-09-13,0.921,0.91
2023-09-14,0.908,0.902
2023-09-15,0.904,0.907
2023-09-18,0.902,0.901
2023-09-19,0.901,0.894
2023-09-20,0.891,0.887
2023-09-21,0.885,0.882
2023-09-22,0.88,0.904
2023-09-25,0.901,0.896
2023-09-26,0.895,0.897
2023-09-27,0.896,0.903
2023-09-28,0.903,0.909
2023-10-09,0.908,0.908
2023-10-10,0.91,0.903
2023-10-11,0.905,0.915
2023-10-12,0.92,0.921
2023-10-13,0.915,0.913
2023-10-16,0.912,0.895
2023-10-17,0.896,0.903
2023-10-18,0.902,0.892
2023-10-19,0.887,0.892
2023-10-20,0.888,0.884
2023-10-23,0.88,0.859
2023-10-24,0.863,0.871
2023-10-25,0.88,0.869
2023-10-26,0.864,0.87
2023-10-27,0.866,0.884
2023-10-30,0.88,0.899
2023-10-31,0.898,0.897
2023-11-01,0.898,0.892
2023-11-02,0.892,0.882
2023-11-03,0.883,0.897
2023-11-06,0.903,0.911
2023-11-07,0.908,0.912
2023-11-08,0.91,0.92
2023-11-09,0.919,0.915
2023-11-10,0.91,0.911
2023-11-13,0.915,0.917
2023-11-14,0.915,0.925
2023-11-15,0.938,0.924
2023-11-16,0.922,0.908
2023-11-17,0.905,0.912
2023-11-20,0.912,0.913
2023-11-21,0.916,0.907
2023-11-22,0.905,0.892
2023-11-23,0.892,0.899
2023-11-24,0.896,0.886
2023-11-27,0.883,0.89
2023-11-28,0.888,0.892
2023-11-29,0.892,0.884
2023-11-30,0.884,0.886
2023-12-01,0.886,0.89
2023-12-04,0.89,0.883
2023-12-05,0.881,0.867
2023-12-06,0.866,0.87
2023-12-07,0.869,0.87
2023-12-08,0.87,0.886
2023-12-11,0.882,0.899
2023-12-12,0.897,0.892
2023-12-13,0.889,0.882
2023-12-14,0.888,0.877
2023-12-15,0.88,0.87
2023-12-18,0.867,0.862
2023-12-19,0.86,0.868
2023-12-20,0.869,0.856
2023-12-21,0.852,0.868
2023-12-22,0.867,0.864
2023-12-25,0.863,0.858
2023-12-26,0.856,0.844
2023-12-27,0.845,0.849
2023-12-28,0.849,0.871
2023-12-29,0.869,0.872
2024-01-02,0.872,0.861
2024-01-03,0.86,0.851
2024-01-04,0.849,0.844
2024-01-05,0.842,0.827
2024-01-08,0.822,0.802
2024-01-09,0.803,0.802
2024-01-10,0.8,0.796
2024-01-11,0.795,0.809
2024-01-12,0.806,0.797
2024-01-15,0.792,0.792
2024-01-16,0.791,0.796
2024-01-17,0.794,0.774
2024-01-18,0.768,0.786
2024-01-19,0.788,0.783
2024-01-22,0.783,0.759
2024-01-23,0.755,0.767
2024-01-24,0.77,0.767
2024-01-25,0.766,0.785
2024-01-26,0.782,0.764
2024-01-29,0.768,0.742
2024-01-30,0.736,0.714
2024-01-31,0.711,0.7
2024-02-01,0.696,0.712
2024-02-02,0.709,0.689
2024-02-05,0.687,0.693
2024-02-06,0.685,0.739
2024-02-07,0.74,0.761
2024-02-08,0.768,0.77
2024-02-19,0.78,0.779
2024-02-20,0.776,0.772
2024-02-21,0.767,0.773
2024-02-22,0.771,0.78
2024-02-23,0.784,0.782
2024-02-26,0.781,0.786
2024-02-27,0.782,0.816
2024-02-28,0.818,0.79
2024-02-29,0.788,0.826
2024-03-01,0.826,0.835
2024-03-04,0.838,0.838
2024-03-05,0.835,0.836
2024-03-06,0.834,0.831
